Block,Strain,Plate,Drop,Count_20ul,Burrowing_exclude
5,MY16,5,5,17.67,0
5,MY16,5,6,18,0
5,JU775,1,1,12,0
5,JU775,1,2,21,0
5,JU775,1,3,17,0
5,JU775,1,4,18,0
5,JU775,1,5,13,0
5,JU775,1,6,14,0
5,JU775,4,1,12,0
5,JU775,4,2,16,0
5,JU775,4,3,16,0
5,JU775,4,4,15,0
5,JU775,4,5,10.67,0
5,JU775,4,6,15.67,0
5,MY16,1,1,12,0
5,MY16,1,2,14,0
5,MY16,1,3,10,0
5,MY16,1,4,7,0
5,MY16,1,5,12,0
5,MY16,1,6,16.67,0
5,N2,3,1,22,0
5,N2,3,2,17.67,0
5,N2,3,3,23.67,0
5,N2,3,4,20,0
5,N2,3,5,20,0
5,N2,3,6,18.67,0
5,MY16,3,1,11,0
5,MY16,3,2,8,0
5,MY16,3,3,10.33,0
5,MY16,3,4,11,0
5,MY16,3,5,10,0
5,MY16,3,6,7,0
5,JU775,5,1,6,0
5,JU775,5,2,7,0
5,JU775,5,3,10.67,0
5,JU775,5,4,10,0
5,JU775,5,5,6,0
5,JU775,5,6,15.67,0
5,N2,1,1,18.33,0
5,N2,1,2,7.33,0
5,N2,1,3,13,0
5,N2,1,4,13.33,0
5,N2,1,5,11,0
5,N2,1,6,9,0
