Block,Plate_number,Bacterial_strain,C.elegans_strain,Date_time_picked,Date_time_counted,Worms_ON,Worms_OFF,N_dead_worms,N_burrowed,Excl_from_sub20
3,19,OP50,JU775,11/18/21 15:44,11/19/21 15:21,17,3,,,0
3,20,Db10,LKC34,11/18/21 15:50,11/19/21 11:34,3,17,,,0
3,20,Db10,LKC34,11/18/21 15:50,11/19/21 15:25,1,19,,,0
3,21,Db10,JU775,11/18/21 15:55,11/19/21 11:46,6,13,,,0
3,21,Db10,JU775,11/18/21 15:55,11/19/21 15:39,2,13,,,0
3,22,OP50,N2,11/18/21 16:05,11/19/21 11:47,18,2,,,0
3,22,OP50,N2,11/18/21 16:05,11/19/21 15:41,18,2,,,0
3,23,Db10,LKC34,11/18/21 16:13,11/19/21 11:52,7,13,,,0
3,23,Db10,LKC34,11/18/21 16:13,11/19/21 15:45,1,19,,,0
3,24,OP50,LKC34,11/18/21 16:14,11/19/21 11:56,13,7,,,0
3,24,OP50,LKC34,11/18/21 16:14,11/19/21 15:47,16,4,,,0
3,25,OP50,JU775,11/18/21 16:23,11/19/21 11:59,12,8,,,0
3,25,OP50,JU775,11/18/21 16:23,11/19/21 15:50,18,2,,,0
3,26,OP50,JU775,11/18/21 16:34,11/19/21 12:01,13,7,,,0
3,26,OP50,JU775,11/18/21 16:34,11/19/21 15:54,16,3,,,0
3,27,OP50,LKC34,11/18/21 16:36,11/19/21 12:06,13,7,,,0
3,27,OP50,LKC34,11/18/21 16:36,11/19/21 15:55,16,4,,,0
3,28,OP50,N2,11/18/21 16:42,11/19/21 12:07,20,0,,,0
3,28,OP50,N2,11/18/21 16:42,11/19/21 15:57,18,2,,,0
3,29,Db10,JU775,11/18/21 16:42,11/19/21 12:17,10,7,,,0
3,29,Db10,JU775,11/18/21 16:42,11/19/21 16:06,6,11,,,0
3,30,OP50,JU775,11/18/21 17:04,11/19/21 12:21,12,8,,,0
3,30,OP50,JU775,11/18/21 17:04,11/19/21 16:10,13,7,,,0
4,1,OP50,N2,12/16/21 12:47,12/17/21 8:17,19,1,,,0
4,1,OP50,N2,12/16/21 12:47,12/17/21 13:56,18,2,,,0
4,2,OP50,EG4725,12/16/21 13:01,12/17/21 8:24,19,0,1,,1
4,2,OP50,EG4725,12/16/21 13:01,12/17/21 14:03,17,2,1,,1
4,3,Db10,EG4725,12/16/21 13:16,12/17/21 8:37,4,13,1,,1
4,3,Db10,EG4725,12/16/21 13:16,12/17/21 14:14,0,15,1,,1
4,4,Db10,JU258,12/16/21 13:27,12/17/21 8:50,10,9,,,0
4,4,Db10,JU258,12/16/21 13:27,12/17/21 14:20,4,13,,,0
4,5,Db10,N2,12/16/21 13:37,12/17/21 9:07,8,11,1,,1
4,5,Db10,N2,12/16/21 13:37,12/17/21 14:29,4,15,1,,1
4,6,OP50,JU258,12/16/21 14:02,12/17/21 9:09,20,0,,,0
4,6,OP50,JU258,12/16/21 14:02,12/17/21 14:31,20,0,,,0
4,7,OP50,EG4725,12/16/21 14:06,12/17/21 9:12,20,0,,,0
4,7,OP50,EG4725,12/16/21 14:06,12/17/21 14:33,20,0,,,0
4,8,Db10,N2,12/16/21 14:06,12/17/21 9:26,7,8,,,0
4,8,Db10,N2,12/16/21 14:06,12/17/21 14:42,2,15,,,0
4,9,Db10,N2,12/16/21 14:14,12/17/21 8:55,4,16,,,0
4,9,Db10,N2,12/16/21 14:14,12/17/21 14:49,1,18,,,0
4,10,OP50,EG4725,12/16/21 14:21,12/17/21 9:29,20,0,,,0
4,10,OP50,EG4725,12/16/21 14:21,12/17/21 14:51,20,0,,,0
4,11,Db10,JU258,12/16/21 14:22,12/17/21 9:43,7,13,,,0
4,11,Db10,JU258,12/16/21 14:22,12/17/21 15:02,3,17,,,0
4,12,Db10,EG4725,12/16/21 14:41,12/17/21 9:52,4,16,,,0
4,12,Db10,EG4725,12/16/21 14:41,12/17/21 15:13,2,18,,,0
4,13,OP50,N2,12/16/21 14:44,12/17/21 9:56,18,0,2,,2
4,13,OP50,N2,12/16/21 14:44,12/17/21 15:16,15,3,2,,2
4,14,OP50,JU258,12/16/21 14:44,12/17/21 10:04,20,0,,,0
4,14,OP50,JU258,12/16/21 14:44,12/17/21 15:22,17,0,,,0
4,15,Db10,EG4725,12/16/21 14:48,12/17/21 10:12,3,16,,,0
4,15,Db10,EG4725,12/16/21 14:48,12/17/21 15:26,1,18,,,0
4,16,Db10,EG4725,12/16/21 15:00,12/17/21 10:25,11,6,,,0
4,16,Db10,EG4725,12/16/21 15:00,12/17/21 15:35,2,15,,,0
4,17,OP50,JU258,12/16/21 15:10,12/17/21 10:28,19,0,,,0
4,17,OP50,JU258,12/16/21 15:10,12/17/21 15:38,20,0,,,0
4,18,OP50,JU258,12/16/21 15:16,12/17/21 10:32,18,1,,,0
4,18,OP50,JU258,12/16/21 15:16,12/17/21 15:40,20,0,,,0
4,19,OP50,N2,12/16/21 15:23,12/17/21 10:36,19,1,,,0
4,19,OP50,N2,12/16/21 15:23,12/17/21 15:43,19,1,,,0
4,20,Db10,EG4725,12/16/21 15:26,12/17/21 10:43,3,17,,,0
